交易日期,收盤價,漲跌價,漲跌幅,至
,,,(A),'23/12/29
,,,,累計
,,,,漲跌幅
'23/08/22,124,1,0.81%,10.10%
'23/08/21,123,-0.85,-0.69%,9.37%
'23/08/18,123.85,-0.75,-0.60%,8.71%
'23/08/17,124.6,0.55,0.44%,9.19%
'23/08/16,124.05,-0.65,-0.52%,8.62%
'23/08/15,124.7,0.2,0.16%,8.80%
'23/08/14,124.5,-1.8,-1.43%,7.24%
'23/08/11,126.3,-0.1,-0.08%,7.16%
'23/08/10,126.4,-0.8,-0.63%,6.49%
'23/08/09,127.2,0.2,0.16%,6.65%
'23/08/08,127,-1.5,-1.17%,5.41%
'23/08/07,128.5,1.25,0.98%,6.44%
'23/08/04,127.25,-0.6,-0.47%,5.94%
'23/08/02,127.85,-1.6,-1.24%,4.63%
'23/08/01,129.45,0.65,0.50%,5.16%
'23/07/31,128.8,-0.7,-0.54%,4.59%
'23/07/28,129.5,0,0%,4.59%
'23/07/27,129.5,1,0.78%,5.41%
'23/07/26,128.5,-0.35,-0.27%,5.12%
'23/07/25,128.85,1.6,1.26%,6.44%
'23/07/24,127.25,0.05,0.04%,6.49%
'23/07/21,127.2,-2.15,-1.66%,4.72%
'23/07/20,129.35,0.6,0.47%,5.20%
'23/07/19,128.75,-1.1,-0.85%,4.31%
'23/07/18,129.85,-0.25,-0.19%,4.11%
'23/07/17,132,-0.25,-0.19%,3.86%
'23/07/14,132.25,1.35,1.03%,4.93%
'23/07/13,130.9,1.45,1.12%,6.10%
'23/07/12,129.45,0.25,0.19%,6.31%
'23/07/11,129.2,1.75,1.37%,7.77%
'23/07/10,127.45,-0.25,-0.20%,7.56%
'23/07/07,127.7,-0.2,-0.16%,7.39%
'23/07/06,127.9,-2.9,-2.22%,5.01%
